date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:03:06	82400/82400	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2010:17:36%20GMT	https://demo.egenslab.com/html/corelaw/preview/index3.html	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/index3.html	(from )
15:03:07	239/239	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2002%20Jan%202025%2014:03:07%20GMT	https://demo.egenslab.com/robots.txt		(from )
15:03:08	2835/2835	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262e8fa76-b13%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/icons/logo-icon.svg	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/icons/logo-icon.svg	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:09	59839/59839	---MCZ	200	added ('OK')	text/css	etag:W/%2262e8f9cc-e9bf%22	https://demo.egenslab.com/html/corelaw/preview/assets/css/animate.css	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/css/animate.css	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:10	78193/78193	---MCZ	200	added ('OK')	text/css	etag:W/%2262e8f9cc-13171%22	https://demo.egenslab.com/html/corelaw/preview/assets/css/all.css	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/css/all.css	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:11	154881/154881	---MCZ	200	added ('OK')	text/css	etag:W/%2262e8f9cd-25d01%22	https://demo.egenslab.com/html/corelaw/preview/assets/css/bootstrap.min.css	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/css/bootstrap.min.css	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:12	63781/63781	---MCZ	200	added ('OK')	text/css	etag:W/%2262e8f9cf-f925%22	https://demo.egenslab.com/html/corelaw/preview/assets/css/boxicons.min.css	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/css/boxicons.min.css	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:13	74765/74765	---MCZ	200	added ('OK')	text/css	etag:W/%2262e8f9cd-1240d%22	https://demo.egenslab.com/html/corelaw/preview/assets/css/bootstrap-icons.css	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/css/bootstrap-icons.css	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:14	37413/37413	---MCZ	200	added ('OK')	text/css	etag:W/%2262e8f9cf-9225%22	https://demo.egenslab.com/html/corelaw/preview/assets/css/jquery-ui.css	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/css/jquery-ui.css	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:15	18903/18903	---MCZ	200	added ('OK')	text/css	etag:W/%2262e8f9d5-49d7%22	https://demo.egenslab.com/html/corelaw/preview/assets/css/swiper-bundle.css	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/css/swiper-bundle.css	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:16	3349/3349	---MCZ	200	added ('OK')	text/css	etag:W/%2262e8f9d2-d15%22	https://demo.egenslab.com/html/corelaw/preview/assets/css/slick-theme.css	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/css/slick-theme.css	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:16	1895/1895	---MCZ	200	added ('OK')	text/css	etag:W/%2262e8f9d2-767%22	https://demo.egenslab.com/html/corelaw/preview/assets/css/slick.css	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/css/slick.css	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:17	4145/4145	---MCZ	200	added ('OK')	text/css	etag:W/%2262e8f9d1-1031%22	https://demo.egenslab.com/html/corelaw/preview/assets/css/nice-select.css	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/css/nice-select.css	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:19	7302/7302	---MCZ	200	added ('OK')	text/css	etag:W/%2262e8f9d0-1c86%22	https://demo.egenslab.com/html/corelaw/preview/assets/css/magnific-popup.css	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/css/magnific-popup.css	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:19	3478/3478	---MCZ	200	added ('OK')	text/css	etag:W/%2262e8f9d1-d96%22	https://demo.egenslab.com/html/corelaw/preview/assets/css/odometer.css	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/css/odometer.css	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:21	194009/194009	---MCZ	200	added ('OK')	text/css	etag:W/%2262e8f9d3-2f5d9%22	https://demo.egenslab.com/html/corelaw/preview/assets/css/style.css	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/css/style.css	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:22	138283/138283	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Aug%202022%2008:48:27%20GMT	https://demo.egenslab.com/html/corelaw/preview/index.html	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/index.html	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:23	9137/9137	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262e8fa6f-23b1%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/icons/header3-logo.svg	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/icons/header3-logo.svg	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:24	9137/9137	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2262e8fa6e-23b1%22	https://demo.egenslab.com/html/corelaw/preview/assets/images/icons/header1-logo.svg	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/assets/images/icons/header1-logo.svg	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:25	106170/106170	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2010:17:36%20GMT	https://demo.egenslab.com/html/corelaw/preview/index2.html	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/index2.html	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:26	82417/82417	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2010:17:37%20GMT	https://demo.egenslab.com/html/corelaw/preview/index4.html	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/index4.html	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:27	78985/78985	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2010:17:40%20GMT	https://demo.egenslab.com/html/corelaw/preview/about.html	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/about.html	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:28	104346/104346	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2010:17:38%20GMT	https://demo.egenslab.com/html/corelaw/preview/practice-area.html	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/practice-area.html	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:29	50122/50122	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2010:17:39%20GMT	https://demo.egenslab.com/html/corelaw/preview/practice-details.html	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/practice-details.html	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:30	43537/43537	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2010:17:41%20GMT	https://demo.egenslab.com/html/corelaw/preview/blog-grid.html	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/blog-grid.html	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:31	39224/39224	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2010:17:42%20GMT	https://demo.egenslab.com/html/corelaw/preview/case-study1.html	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/case-study1.html	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:32	37296/37296	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2010:17:43%20GMT	https://demo.egenslab.com/html/corelaw/preview/case-study2.html	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/case-study2.html	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:33	49033/49033	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2010:17:43%20GMT	https://demo.egenslab.com/html/corelaw/preview/casestudy-details.html	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/casestudy-details.html	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:34	45695/45695	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2010:17:39%20GMT	https://demo.egenslab.com/html/corelaw/preview/team.html	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/team.html	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:35	41497/41497	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2010:17:37%20GMT	https://demo.egenslab.com/html/corelaw/preview/lawyer-details.html	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/lawyer-details.html	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:36	75499/75499	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2010:17:34%20GMT	https://demo.egenslab.com/html/corelaw/preview/faq.html	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/faq.html	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:37	32132/32132	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2010:17:45%20GMT	https://demo.egenslab.com/html/corelaw/preview/error.html	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/error.html	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
15:03:37	47939/47939	---MCZ	200	added ('OK')	text/html	date:Tue,%2002%20Aug%202022%2010:17:42%20GMT	https://demo.egenslab.com/html/corelaw/preview/blog-standard.html	/home/feyishola/Desktop/mydev/Codeplay/httracks/legal3/demo.egenslab.com/html/corelaw/preview/blog-standard.html	(from https://demo.egenslab.com/html/corelaw/preview/index3.html)
